wd,freq,a,k
0,0.043151,8.350781,1.845081
30,0.055251,8.944269,2.269696
60,0.049886,8.418256,2.129145
90,0.061758,9.808952,2.187215
120,0.054566,8.599424,2.180904
150,0.064498,9.522737,2.109227
180,0.10411,11.756205,2.251396
210,0.173516,12.859361,2.893275
240,0.153995,11.620341,2.630585
270,0.102626,10.790288,2.201163
300,0.080936,12.228167,2.240723
330,0.055708,9.612919,2.022746
